,movement,frequency,move_class,,Equipment
146,monkey bar traverse,1,Gymnastics,,pull bar
147,mountain climbers,1,Gymnastics,,body
148,muscle up box progression,1,Gymnastics,,rings
149,muscle up progression,5,Gymnastics,,rings
150,muscle-up,3,Gymnastics,,rings
151,muscle-up (banded),4,Gymnastics,,rings
152,muscle-up (feet on ground),2,Gymnastics,,rings
153,"muscle-up (sub: 1 pull-up, 1 dip)",1,Gymnastics,,rings
154,muscle-up transition,3,Gymnastics,,rings
155,overhead walk,3,Gymnastics,,odd
156,overhead walking lunge with plate,2,Gymnastics,,odd
157,pancake stretch,3,Gymnastics,,body
158,parallel bar walk,1,Gymnastics,,bars
159,parallette dip,1,Gymnastics,,parallette
160,parallette pass through,1,Gymnastics,,parallette
161,parallette push-up,1,Gymnastics,,parallette
162,partner assisted glute ham raise,1,Gymnastics,,ghd
163,pass through,2,Gymnastics,,body
164,pigeon stretch,5,Gymnastics,,body
165,piriformis smash,1,Gymnastics,,body
166,pistol,8,Gymnastics,,body
167,pistol (assisted w/pole or wall),1,Gymnastics,,body
168,pistol (left leg),2,Gymnastics,,body
169,pistol (right leg),2,Gymnastics,,body
170,pistols (alternating legs),4,Gymnastics,,body
171,plank hold,8,Gymnastics,,body
172,plank walk,1,Gymnastics,,body
173,plyo push ups (height),1,Gymnastics,,body
174,press to hanstand practice,1,Gymnastics,,body
175,prone dislocate,7,Gymnastics,,body
176,prone snow angel,1,Gymnastics,,body
177,pull up (chin over bar),1,Gymnastics,,pull bar
178,pull-up,149,Gymnastics,,pull bar
179,pull-up (blue band),6,Gymnastics,,pull bar
180,pull-up (green band),4,Gymnastics,,pull bar
181,pull-up (negative),1,Gymnastics,,pull bar
182,pull-up (purple band),1,Gymnastics,,pull bar
183,pull-up (red band),3,Gymnastics,,pull bar
184,push up (deficit),1,Gymnastics,,body
185,push-up,75,Gymnastics,,body
186,push-up (clapping),1,Gymnastics,,body
187,push-up (knees),6,Gymnastics,,body
188,push-up (medicine ball),1,Gymnastics,,body
189,right side plank,1,Gymnastics,,body
190,ring dip,9,Gymnastics,,rings
191,ring dip (blue band),1,Gymnastics,,rings
192,ring dip (purple band),7,Gymnastics,,rings
193,ring dip (red band),3,Gymnastics,,rings
194,ring l sit,1,Gymnastics,,rings
195,ring push-up,12,Gymnastics,,rings
196,ring row,13,Gymnastics,,rings
197,rope climb,14,Gymnastics,,rope
198,rope climb (from ground to standing),5,Gymnastics,,rope
199,rtc prep,1,Gymnastics,,body
200,russian step up,1,Gymnastics,,body
201,russian twist,1,Gymnastics,,body
202,scorpion,1,Gymnastics,,body
203,seal walk,1,Gymnastics,,body
204,seated forward fold,2,Gymnastics,,body
205,shoulder mobility,1,Gymnastics,,body
206,shoulder smash,6,Gymnastics,,body
207,shoulder stand (rings),1,Gymnastics,,body
208,shoulder tap,1,Gymnastics,,body
209,side plank,2,Gymnastics,,body
210,side plank lift,1,Gymnastics,,body
211,side split,1,Gymnastics,,body
212,single leg glute bridge,1,Gymnastics,,body
213,sit-up,1,Gymnastics,,body
214,sit-up (ghd - parallel),2,Gymnastics,,ghd
215,sit-up (standard),9,Gymnastics,,body
216,skin the cat,3,Gymnastics,,rings
217,squat hold,2,Gymnastics,,body
218,squat jump,2,Gymnastics,,body
219,squat prep,5,Gymnastics,,body
220,strict bar dip,3,Gymnastics,,bars
221,strict chin-up,2,Gymnastics,,pull bar
222,strict handstand push-up,4,Gymnastics,,body
223,strict muscle-up,4,Gymnastics,,rings
224,strict pull-up,18,Gymnastics,,pull bar
225,strict pull-up (band),2,Gymnastics,,pull bar
226,strict toes to bar,2,Gymnastics,,pull bar
227,superman  hold,1,Gymnastics,,body
228,t spine mobility w/ ball,1,Gymnastics,,body
229,tabata squat,1,Gymnastics,,body
230,thoracic spine mobility,2,Gymnastics,,body
231,toes to ring,1,Gymnastics,,rings
232,toes-to-bar,68,Gymnastics,,pull bar
233,towel row,1,Gymnastics,,body
234,triceps smash,1,Gymnastics,,body
235,tuck hold (parallettes),1,Gymnastics,,parallette
236,v out,1,Gymnastics,,body
237,v up situp,1,Gymnastics,,body
238,v-up,4,Gymnastics,,body
239,vinyasa flow,9,Gymnastics,,body
240,walking lunge,15,Gymnastics,,body
241,wall climb,3,Gymnastics,,body
242,wall handstand hold,2,Gymnastics,,body
243,wall walk,10,Gymnastics,,body
244,weighted forward fold,1,Gymnastics,,body
245,3 position clean + jerk,1,Weightlifting,,barbell
246,atlas stone carry,2,Weightlifting,,odd
247,atlas stone clean,1,Weightlifting,,odd
248,atlas stone ground to shoulder,1,Weightlifting,,odd
249,back rack walking lunge,1,Weightlifting,,barbell
250,back squat,138,Weightlifting,,barbell
251,back squat 80%,1,Weightlifting,,barbell
252,ball slam,13,Weightlifting,,odd
253,barbell carry,1,Weightlifting,,barbell
254,barbell complex,3,Weightlifting,,barbell
255,barbell curl,1,Weightlifting,,barbell
256,barbell rollout,2,Weightlifting,,barbell
257,bear complex,3,Weightlifting,,barbell
258,behind the neck push press,1,Weightlifting,,barbell
259,bench press,58,Weightlifting,,barbell
260,bent over barbell row,4,Weightlifting,,barbell
261,bodyweight bench press,1,Weightlifting,,barbell
262,box squat,1,Weightlifting,,barbell
263,bulgarian split squat,4,Weightlifting,,barbell
264,bumper plate ground to overhead,3,Weightlifting,,odd
265,chain drag,1,Weightlifting,,odd
266,clean,9,Weightlifting,,barbell
267,clean & jerk,43,Weightlifting,,barbell
268,clean high pull,2,Weightlifting,,barbell
269,clean pull,4,Weightlifting,,barbell
270,curtis p,1,Weightlifting,,barbell
271,deadlift,168,Weightlifting,,barbell
272,deadlift 75%,1,Weightlifting,,barbell
273,deadlift carry,1,Weightlifting,,barbell
274,deadlift hold,1,Weightlifting,,barbell
275,double kettlebell front squat,2,Weightlifting,,kettlebell
276,double kettlebell push press,1,Weightlifting,,kettlebell
277,dumbbell bench press,4,Weightlifting,,dumbbell
278,dumbbell bulgarian split squat,1,Weightlifting,,dumbbell
