,benchmark,move_list
45,erin,"[u'Five rounds of:', u'40 pound Dumbbells split clean, 15 reps', u'21 Pull-ups', u'For time']"
46,forrest,"[u'Three rounds', u'20 L-pull-ups', u'30 Toes to bar', u'40 Burpees', u'Run 800 meters', u'For Time']"
47,freddys-revenge,"[u'Five rounds for time of:', u'185 lbs from shoulders to overhead anyhow, 5 reps', u'10 Burpees']"
48,garrett,"[u'Three rounds of:', u'75 Squats', u'25 Ring handstand push-ups', u'25 L-pull-ups', u'For time']"
49,gator,"[u'Eight rounds of ', u'185 pound Front squat, 5 reps', u'26 Ring push-ups', u'For time']"
50,glen,"[u'For time: ', u'135 pound Clean and jerk, 30 reps', u'Run 1 mile', u'15 foot Rope climb, 10 ascents', u'Run 1 mile', u'100 Burpees']"
51,griff,"[u'Run 800 meters', u'Run 400 meters backwards', u'Run 800 meters', u'Run 400 meters backwards', u'For time']"
52,hammer,"[u'Five rounds of: ', u'135 pound Power clean, 5 reps', u'135 pound Front squat, 10 reps', u'135 pound Jerk, 5 reps', u'20 Pull-ups', u'Rest 90 seconds between each round', u'Each Round For Time']"
53,hansen,"[u'Five rounds of:', u'30 reps, 2 pood Kettlebell swing', u'30 Burpees', u'30 Glute-ham sit-ups', u'For time']"
54,helton,"[u'Three rounds of:', u'Run 800 meters', u'30 reps, 50 pound dumbbell squat cleans', u'30 Burpees', u'For Time']"
55,hidalgo,"[u'Run 2 miles', u'Rest 2 minutes', u'135 pound Squat clean, 20 reps', u'20 Box jump, 24"" box', u'20 Walking lunge steps with 45lb plate held overhead', u'20 Box jump, 24"" box', u'135 pound Squat clean, 20 reps', u'Rest 2 minutes', u'Run 2 miles', u'For time', u""If you've got a twenty pound vest or body armor, wear it.""]"
56,holbrooke,"[u'Ten rounds, each for time of:', u'115 pound Thruster, 5 reps', u'10 Pull-ups', u'100 meter Sprint', u'Rest 1 minute']"
57,holleyman,"[u'Thirty rounds of: ', u'5 Wall ball shots, 20 pound ball', u'3 Handstand push-ups', u'225 pound Power clean, 1 rep', u'For time']"
58,hortman,"[u'Complete as many rounds as possible in 45 minutes of:', u'Run 800 meters', u'80 Squats', u'8 Muscle-ups']"
59,j-j,"[u'185 pound Squat clean, 1 rep', u'10 Parallette handstand push-ups', u'185 pound Squat clean, 2 reps', u'9 Parallette handstand push-ups', u'185 pound Squat clean, 3 reps', u'8 Parallette handstand push-ups', u'185 pound Squat clean, 4 reps', u'7 Parallette handstand push-ups', u'185 pound Squat clean, 5 reps', u'6 Parallette handstand push-ups', u'185 pound Squat clean, 6 reps', u'5 Parallette handstand push-ups', u'185 pound Squat clean, 7 reps', u'4 Parallette handstand push-ups', u'185 pound Squat clean, 8 reps', u'3 Parallette handstand push-ups', u'185 pound Squat clean, 9 reps', u'2 Parallette handstand push-ups', u'185 pound Squat clean, 10 reps', u'1 Parallette handstand push-up', u'For time']"
