,Date,Workout,Result,Prescribed,Work performed,Work time,Formatted Result,workout_name_length,Movements,power
203,2016-03-06,Every 45 secs for 9 mins: Deadlift,1088.621688,True,6058,540000.0,2400 lbs,34,deadlift,11.2185185185
204,2016-03-05,Every 1 min for 10 mins: Overhead Squat,1052.3342984,True,8029,600000.0,2320 lbs,39,"overhead squat, squat",13.3816666667
205,2016-03-05,Every 1 min for 15 mins: Power Snatch,644.1011654,True,9881,900000.0,1420 lbs,37,"power snatch, snatch",10.9788888889
206,2016-03-03,CrossFit Games Open 16.2 - Scaled,430.0,True,48287,853000.0,430 reps,33,,56.6084407972
208,2016-03-02,Every 1 min for 15 mins: Squat Clean & Jerk,893.5769689,True,15645,900000.0,1970 lbs,43,"clean, clean & jerk, jerk, squat clean, squat clean & jerk, squat",17.3833333333
209,2016-03-02,Every 1 min for 10 mins: Back Squat,1514.9985158,True,9678,600000.0,3340 lbs,35,"back squat, squat",16.13
210,2016-03-01,"30-20-10: Wall Balls, Toes-to-bars and Burpees",840000.0,True,65612,840000.0,14 mins,46,"burpee, toes-to-bar, wall ball",78.1095238095
211,2016-03-01,Every 1 min for 10 mins: Front Squat,1242.8430938,True,8708,600000.0,2740 lbs,36,"front squat, squat",14.5133333333
212,2016-02-28,FT: Bar Muscle-ups and Push Jerks,175000.0,False,11996,175000.0,2 mins 55 secs,33,"muscle-up, jerk, push jerk",68.5485714286
213,2016-02-28,Every 1 min for 10 mins: Deadlift,1714.5791586,True,9660,600000.0,3780 lbs,33,deadlift,16.1
214,2016-02-27,3 RFT: Thrusters and Burpees,429000.0,True,38537,429000.0,7 mins 9 secs,28,"burpee, thruster",89.8298368298
215,2016-02-27,Every 1:30 for 10:30: Overhead Squat,1095.42557355,True,8397,630000.0,2415 lbs,36,"overhead squat, squat",13.3285714286
216,2016-02-26,CrossFit Games Open 16.1 - Scaled / Teens Scaled,9.75,True,62961,1200000.0,9 rounds + 5 Front Rack Walking Lunges + 8 Bar Facing Burpees + 5 Front Rack Walking Lunges | 252 reps,48,,52.4675
217,2016-02-24,"FT: Rows, Chest-to-bar Pull-ups and Handstand Push-ups",1350000.0,False,57029,1350000.0,22 mins 30 secs,54,"row, chest-to-bar pull-up, handstand push-up, pull-up, push-up",42.2437037037
218,2016-02-24,Every 1:30 for 10:30: Back Squat,1462.83539325,True,9706,630000.0,3225 lbs,32,"back squat, squat",15.4063492063
219,2016-02-24,Row : 5 mins,1187.0,True,38377,300000.0,1187 m,12,row,127.923333333
220,2016-02-24,"AMRAP 4 mins: Kettlebell Swing (Russian)s, Box Jumps, and Dips",1.889,True,15768,240000.0,1 round + 15 Kettlebell Swing (Russian)s + 12 Box Jumps + 6 Dips | 69 reps,62,"box jump, dip, kettlebell swing",65.7
221,2016-02-24,"AMRAP 4 mins: Kettlebell Swing (Russian)s, Box Jumps, and Dips",2.333,True,16547,240000.0,2 rounds + 12 Kettlebell Swing (Russian)s | 66 reps,62,"box jump, dip, kettlebell swing",68.9458333333
222,2016-02-24,"AMRAP 4 mins: Kettlebell Swing (Russian)s, Box Jumps, and Dips",2.333,True,13259,240000.0,2 rounds + 9 Kettlebell Swing (Russian)s | 45 reps,62,"box jump, dip, kettlebell swing",55.2458333333
224,2016-02-23,"AMRAP 20 mins: Rows, Wall Balls, Double Unders and Toes-to-bars",3.8,True,81710,1200000.0,3 rounds + 250 m + 20 Wall Balls + 50 Double Unders + 2 Toes-to-bars,63,"double under, row, toes-to-bar, wall ball",68.0916666667
225,2016-02-23,Every 1:30 for 10:30: Front Squat,1190.67997125,True,8736,630000.0,2625 lbs,33,"front squat, squat",13.8666666667
226,2016-02-23,Every 1 min for 15 mins: Squat Clean & Jerk,882.23715965,True,15500,900000.0,1945 lbs,43,"clean, clean & jerk, jerk, squat clean, squat clean & jerk, squat",17.2222222222
228,2016-02-21,Every 1:30 for 10:30: Deadlift,1748.59858635,True,9916,630000.0,3855 lbs,30,deadlift,15.7396825397
229,2016-02-21,"FT: Power Cleans, Dips, Power Cleans, and 3 more",594000.0,True,33813,594000.0,9 mins 54 secs,48,"dip, clean, power clean",56.9242424242
230,2016-02-20,"""Tabata"" - Air Squats, Handstand Push-ups, Double Unders and Pull-ups : 8 x 20 secs / 10 secs",306.0,True,42266,960000.0,306 reps | 92 + 18 + 187 + 9,93,"double under, air squat, handstand push-up, pull-up, push-up, squat",44.0270833333
233,2016-02-19,Run 800 m TT,280000.0,True,13487,280000.0,4 mins 40 secs,12,run,48.1678571429
234,2016-02-19,CrossFit Games Open 14.4,130.0,True,10153,840000.0,130 reps,24,,12.0869047619
235,2016-02-16,"Run : 5x 400 m, rest 3 mins",605000.0,True,46216,605000.0,10 mins 5 secs,27,run,76.3900826446
236,2016-02-14,CrossFit Games Open 12.3,7.0,False,46907,1080000.0,7 rounds | 252 reps,24,,43.4324074074
237,2016-02-13,"3 RFT: Rows, Double Unders and Air Squats",540000.0,True,47217,540000.0,9 mins,41,"double under, row, air squat, squat",87.4388888889
238,2016-02-13,"5 RFT: Handstand Push-ups, Chest-to-bar Pull-ups and Pistols",548000.0,False,9759,548000.0,9 mins 8 secs,60,"chest-to-bar pull-up, handstand push-up, pistol, pull-up, push-up",17.8083941606
240,2016-02-12,CrossFit Games Open 13.1,150.0,True,86066,1020000.0,150 reps,24,,84.3784313725
242,2016-02-10,CrossFit Games Open 15.1,3.133,True,21564,540000.0,3 rounds + 6 Toes-to-bars | 96 reps,24,,39.9333333333
244,2016-02-10,Alt EMOM 12 mins: Strict Handstand Push-ups and Strict Muscle-up s,5671.0,False,5671,720000.0,Completed,66,"handstand push-up, muscle-up, push-up, strict handstand push-up, strict muscle-up",7.87638888889
245,2016-02-09,"""FGB Style"" - Airdyne (Calories)s, Row (calories)s and Burpees",114.0,False,19337,675000.0,"114 reps | 20, 22, 23, 24, and 25 reps",62,"row, burpee",28.6474074074
247,2016-02-07,"""Tabata"" - Ball Slams, Jumping Squats and Handstand Holds : 3 x 30 secs / 30 secs",94.0,False,13318,540000.0,94 reps | 38 + 53 + 3,81,"handstand hold, jumping squat, ball slam, squat",24.662962963
248,2016-02-07,7 RFT: Wall Balls and Muscle-ups,500000.0,False,22110,500000.0,8 mins 20 secs,32,"muscle-up, wall ball",44.22
250,2016-02-07,"""Tabata"" - AbMat Sit-ups : 8 x 20 secs / 10 secs",97.0,True,17417,240000.0,97 reps | 97,48,"abmat sit-up, sit-up",72.5708333333
253,2016-02-05,30-20-10: Sumo Deadlift High-pulls and Burpees,700000.0,True,54523,700000.0,11 mins 40 secs,46,"burpee, deadlift, sumo deadlift high-pull",77.89
255,2016-02-04,"AMRAP 8 mins: Pull-ups, Push-ups, Airdyne (Calories)s and Double Unders",2.5,True,19401,480000.0,2 rounds + 5 Pull-ups + 10 Push-ups | 145 reps,71,"double under, pull-up, push-up",40.41875
256,2016-02-04,CrossFit Games Open 15.3 - Scaled,2.695,True,63140,840000.0,2 rounds + 50 Wall Balls + 78 Jump Rope (Singles)s | 628 reps,33,,75.1666666667
257,2016-02-04,Every 1 min for 20 mins: Squat Snatch,882.0,True,15338,1200000.0,882 kg,37,"snatch, squat snatch, squat",12.7816666667
258,2016-02-02,CrossFit Games Open 15.4 - Scaled,6.35,True,45466,480000.0,6 rounds + 7 Push Press | 127 reps,33,,94.7208333333
263,2016-01-27,"AMRAP 8 mins: Rows, Double Unders, Air Squats and Handstand Push-ups",3.09,False,49544,480000.0,3 rounds + 90 m,68,"double under, row, air squat, handstand push-up, push-up, squat",103.216666667
264,2016-01-27,CrossFit Games Open 12.1,60.0,True,32229,420000.0,60 reps,24,,76.7357142857
266,2016-01-26,"""Tabata"" - Kettlebell Swings, Airdyne (Calories)s and Goblet Squats : 3 x 30 secs / 30 secs",107.0,False,20045,540000.0,107 reps | 40 + 21 + 46,91,"goblet squat, kettlebell swing, squat",37.1203703704
268,2016-01-26,"AMRAP 20 mins: Snatch Deadlifts, Power Snatches, Snatches and Overhead Squats",20.5,True,37271,1200000.0,20 rounds + Snatch Deadlift + Power Snatch | 82 reps,77,"deadlift, overhead squat, power snatch, snatch, snatch deadlift, squat",31.0591666667
